Space Heating.Timestep;Time;Sum Space Heating [kWh];House - Transformation Devices - Space Heating - Continuous Flow Gas Heater [kWh];;
0;01.01.2013 00:00;2,124;-2,124;;
60;01.01.2013 01:00;2,304;-2,304;;
120;01.01.2013 02:00;2,493;-2,493;;
180;01.01.2013 03:00;2,601;-2,601;;
240;01.01.2013 04:00;2,68;-2,68;;
300;01.01.2013 05:00;2,723;-2,723;;
360;01.01.2013 06:00;2,861;-2,861;;
420;01.01.2013 07:00;2,95;-2,95;;
480;01.01.2013 08:00;2,721;-2,721;;
540;01.01.2013 09:00;2,258;-2,258;;
600;01.01.2013 10:00;1,609;-1,609;;
660;01.01.2013 11:00;1,247;-1,247;;
720;01.01.2013 12:00;0,941;-0,941;;
780;01.01.2013 13:00;1,083;-1,083;;
840;01.01.2013 14:00;1,27;-1,27;;
900;01.01.2013 15:00;1,395;-1,395;;
960;01.01.2013 16:00;1,408;-1,408;;
1020;01.01.2013 17:00;1,208;-1,208;;
1080;01.01.2013 18:00;1,022;-1,022;;
1140;01.01.2013 19:00;0,918;-0,918;;
1200;01.01.2013 20:00;1,052;-1,052;;
1260;01.01.2013 21:00;1,113;-1,113;;
1320;01.01.2013 22:00;1,28;-1,28;;
1380;01.01.2013 23:00;1,515;-1,515;;
1440;02.01.2013 00:00;1,763;-1,763;;
1500;02.01.2013 01:00;1,989;-1,989;;
1560;02.01.2013 02:00;2,121;-2,121;;
1620;02.01.2013 03:00;2,214;-2,214;;
1680;02.01.2013 04:00;2,318;-2,318;;
1740;02.01.2013 05:00;2,297;-2,297;;
1800;02.01.2013 06:00;2,215;-2,215;;
1860;02.01.2013 07:00;2,153;-2,153;;
1920;02.01.2013 08:00;2,122;-2,122;;
1980;02.01.2013 09:00;0,608;-0,608;;
2040;02.01.2013 10:00;0,026;-0,026;;
2100;02.01.2013 11:00;0,088;-0,088;;
2160;02.01.2013 12:00;0,123;-0,123;;
2220;02.01.2013 13:00;0,389;-0,389;;
2280;02.01.2013 14:00;0,706;-0,706;;
2340;02.01.2013 15:00;1;-1;;
2400;02.01.2013 16:00;1,188;-1,188;;
2460;02.01.2013 17:00;1,139;-1,139;;
2520;02.01.2013 18:00;1,061;-1,061;;
2580;02.01.2013 19:00;1,069;-1,069;;
2640;02.01.2013 20:00;1,312;-1,312;;
2700;02.01.2013 21:00;1,493;-1,493;;
2760;02.01.2013 22:00;1,772;-1,772;;
2820;02.01.2013 23:00;2,084;-2,084;;
2880;03.01.2013 00:00;2,361;-2,361;;
2940;03.01.2013 01:00;2,603;-2,603;;
3000;03.01.2013 02:00;2,669;-2,669;;
3060;03.01.2013 03:00;2,764;-2,764;;
3120;03.01.2013 04:00;2,814;-2,814;;
3180;03.01.2013 05:00;2,791;-2,791;;
3240;03.01.2013 06:00;2,662;-2,662;;
3300;03.01.2013 07:00;2,509;-2,509;;
3360;03.01.2013 08:00;2,478;-2,478;;
3420;03.01.2013 09:00;2,461;-2,461;;
3480;03.01.2013 10:00;2,498;-2,498;;
3540;03.01.2013 11:00;2,399;-2,399;;
3600;03.01.2013 12:00;2,141;-2,141;;
3660;03.01.2013 13:00;2,134;-2,134;;
3720;03.01.2013 14:00;2,233;-2,233;;
3780;03.01.2013 15:00;2,268;-2,268;;
3840;03.01.2013 16:00;2,19;-2,19;;
3900;03.01.2013 17:00;1,874;-1,874;;
3960;03.01.2013 18:00;1,574;-1,574;;
4020;03.01.2013 19:00;1,377;-1,377;;
4080;03.01.2013 20:00;1,394;-1,394;;
4140;03.01.2013 21:00;1,421;-1,421;;
4200;03.01.2013 22:00;1,547;-1,547;;
4260;03.01.2013 23:00;1,693;-1,693;;
4320;04.01.2013 00:00;1,828;-1,828;;
4380;04.01.2013 01:00;1,905;-1,905;;
4440;04.01.2013 02:00;1,911;-1,911;;
4500;04.01.2013 03:00;1,9;-1,9;;
4560;04.01.2013 04:00;1,887;-1,887;;
4620;04.01.2013 05:00;1,869;-1,869;;
4680;04.01.2013 06:00;1,901;-1,901;;
4740;04.01.2013 07:00;1,818;-1,818;;
4800;04.01.2013 08:00;1,639;-1,639;;
4860;04.01.2013 09:00;1,457;-1,457;;
4920;04.01.2013 10:00;1,336;-1,336;;
4980;04.01.2013 11:00;1,102;-1,102;;
5040;04.01.2013 12:00;0,85;-0,85;;
5100;04.01.2013 13:00;0,909;-0,909;;
5160;04.01.2013 14:00;0,99;-0,99;;
5220;04.01.2013 15:00;1,027;-1,027;;
5280;04.01.2013 16:00;0,955;-0,955;;
5340;04.01.2013 17:00;0,624;-0,624;;
5400;04.01.2013 18:00;0,417;-0,417;;
5460;04.01.2013 19:00;0,366;-0,366;;
5520;04.01.2013 20:00;0,545;-0,545;;
5580;04.01.2013 21:00;0,656;-0,656;;
5640;04.01.2013 22:00;0,742;-0,742;;
5700;04.01.2013 23:00;0,878;-0,878;;
5760;05.01.2013 00:00;1,044;-1,044;;
5820;05.01.2013 01:00;1,235;-1,235;;
5880;05.01.2013 02:00;1,34;-1,34;;
5940;05.01.2013 03:00;1,426;-1,426;;
6000;05.01.2013 04:00;1,507;-1,507;;
6060;05.01.2013 05:00;1,563;-1,563;;
6120;05.01.2013 06:00;1,709;-1,709;;
6180;05.01.2013 07:00;1,838;-1,838;;
6240;05.01.2013 08:00;1,712;-1,712;;
6300;05.01.2013 09:00;1,453;-1,453;;
6360;05.01.2013 10:00;1,162;-1,162;;
6420;05.01.2013 11:00;0,921;-0,921;;
6480;05.01.2013 12:00;0,739;-0,739;;
6540;05.01.2013 13:00;1,008;-1,008;;
6600;05.01.2013 14:00;1,281;-1,281;;
6660;05.01.2013 15:00;1,424;-1,424;;
6720;05.01.2013 16:00;1,477;-1,477;;
6780;05.01.2013 17:00;1,303;-1,303;;
6840;05.01.2013 18:00;1,147;-1,147;;
6900;05.01.2013 19:00;1,024;-1,024;;
6960;05.01.2013 20:00;1,103;-1,103;;
7020;05.01.2013 21:00;1,143;-1,143;;
7080;05.01.2013 22:00;1,264;-1,264;;
7140;05.01.2013 23:00;1,472;-1,472;;
7200;06.01.2013 00:00;1,672;-1,672;;
7260;06.01.2013 01:00;1,821;-1,821;;
7320;06.01.2013 02:00;1,896;-1,896;;
7380;06.01.2013 03:00;1,938;-1,938;;
7440;06.01.2013 04:00;1,977;-1,977;;
7500;06.01.2013 05:00;1,977;-1,977;;
7560;06.01.2013 06:00;1,858;-1,858;;
7620;06.01.2013 07:00;1,751;-1,751;;
7680;06.01.2013 08:00;1,789;-1,789;;
7740;06.01.2013 09:00;1,845;-1,845;;
7800;06.01.2013 10:00;1,858;-1,858;;
7860;06.01.2013 11:00;1,774;-1,774;;
7920;06.01.2013 12:00;1,558;-1,558;;
7980;06.01.2013 13:00;1,563;-1,563;;
8040;06.01.2013 14:00;1,693;-1,693;;
8100;06.01.2013 15:00;1,752;-1,752;;
8160;06.01.2013 16:00;1,691;-1,691;;
8220;06.01.2013 17:00;1,455;-1,455;;
8280;06.01.2013 18:00;1,183;-1,183;;
8340;06.01.2013 19:00;1,009;-1,009;;
8400;06.01.2013 20:00;1,062;-1,062;;
8460;06.01.2013 21:00;1,078;-1,078;;
8520;06.01.2013 22:00;1,2;-1,2;;
