Electricity.Timestep;Time;Sum Electricity [kWh]
0;01.01.2013 00:00;0,318587294
60;01.01.2013 01:00;0,313200251
120;01.01.2013 02:00;0,27541713
180;01.01.2013 03:00;0,441826336
240;01.01.2013 04:00;0,441185027
300;01.01.2013 05:00;0,534776265
360;01.01.2013 06:00;2,231142397
420;01.01.2013 07:00;2,182892161
480;01.01.2013 08:00;2,694375635
540;01.01.2013 09:00;1,820442486
600;01.01.2013 10:00;0,559425326
660;01.01.2013 11:00;1,056493819
720;01.01.2013 12:00;1,370841432
780;01.01.2013 13:00;2,859702336
840;01.01.2013 14:00;1,615460749
900;01.01.2013 15:00;0,793570969
960;01.01.2013 16:00;1,1322645
1020;01.01.2013 17:00;1,349867956
1080;01.01.2013 18:00;3,347256641
1140;01.01.2013 19:00;2,490210052
1200;01.01.2013 20:00;2,365486414
1260;01.01.2013 21:00;1,293633647
1320;01.01.2013 22:00;0,727000628
1380;01.01.2013 23:00;0,682602093
1440;02.01.2013 00:00;0,627495217
1500;02.01.2013 01:00;0,435649463
1560;02.01.2013 02:00;0,338259484
1620;02.01.2013 03:00;0,219486626
1680;02.01.2013 04:00;0,441548556
1740;02.01.2013 05:00;0,415874813
1800;02.01.2013 06:00;1,905077111
1860;02.01.2013 07:00;3,728523702
1920;02.01.2013 08:00;2,110994003
1980;02.01.2013 09:00;1,301676249
2040;02.01.2013 10:00;1,101497571
2100;02.01.2013 11:00;0,913109805
2160;02.01.2013 12:00;0,866480957
2220;02.01.2013 13:00;2,277839165
2280;02.01.2013 14:00;2,320239124
2340;02.01.2013 15:00;2,577926179
2400;02.01.2013 16:00;1,424224743
2460;02.01.2013 17:00;1,671526785
2520;02.01.2013 18:00;1,30549657
2580;02.01.2013 19:00;2,301450112
2640;02.01.2013 20:00;2,807263463
2700;02.01.2013 21:00;1,550360778
2760;02.01.2013 22:00;1,552906518
2820;02.01.2013 23:00;0,855362811
2880;03.01.2013 00:00;0,204852126
2940;03.01.2013 01:00;0,236738242
3000;03.01.2013 02:00;0,280333361
3060;03.01.2013 03:00;0,252675633
3120;03.01.2013 04:00;0,269716403
3180;03.01.2013 05:00;0,522851077
3240;03.01.2013 06:00;2,066471071
3300;03.01.2013 07:00;2,089993883
3360;03.01.2013 08:00;1,985762721
3420;03.01.2013 09:00;1,497375773
3480;03.01.2013 10:00;0,425157002
3540;03.01.2013 11:00;0,403340613
3600;03.01.2013 12:00;0,807370543
3660;03.01.2013 13:00;1,169398282
3720;03.01.2013 14:00;0,497638182
3780;03.01.2013 15:00;1,305343101
3840;03.01.2013 16:00;3,716212984
3900;03.01.2013 17:00;2,868240852
3960;03.01.2013 18:00;1,729755304
4020;03.01.2013 19:00;3,056214659
4080;03.01.2013 20:00;1,633115656
4140;03.01.2013 21:00;3,259779603
4200;03.01.2013 22:00;1,495342051
4260;03.01.2013 23:00;0,56868685
4320;04.01.2013 00:00;0,244782061
4380;04.01.2013 01:00;0,217207604
4440;04.01.2013 02:00;0,252946993
4500;04.01.2013 03:00;0,37449479
4560;04.01.2013 04:00;0,52002948
4620;04.01.2013 05:00;0,711501033
4680;04.01.2013 06:00;2,172646172
4740;04.01.2013 07:00;3,901828597
4800;04.01.2013 08:00;4,368986644
4860;04.01.2013 09:00;1,727141286
4920;04.01.2013 10:00;0,477069109
4980;04.01.2013 11:00;0,301916481
5040;04.01.2013 12:00;0,432488141
5100;04.01.2013 13:00;0,425353811
5160;04.01.2013 14:00;0,423762583
5220;04.01.2013 15:00;0,632497286
5280;04.01.2013 16:00;0,971226567
5340;04.01.2013 17:00;1,241611709
5400;04.01.2013 18:00;2,870426611
5460;04.01.2013 19:00;1,775016658
5520;04.01.2013 20:00;1,949344784
5580;04.01.2013 21:00;0,914593492
5640;04.01.2013 22:00;0,737060396
5700;04.01.2013 23:00;0,398843937
5760;05.01.2013 00:00;0,23477234
5820;05.01.2013 01:00;0,264681594
5880;05.01.2013 02:00;0,204690754
5940;05.01.2013 03:00;0,23844079
6000;05.01.2013 04:00;0,524537474
6060;05.01.2013 05:00;0,577188311
6120;05.01.2013 06:00;1,649134531
6180;05.01.2013 07:00;2,233584328
6240;05.01.2013 08:00;3,173764798
6300;05.01.2013 09:00;4,87622351
6360;05.01.2013 10:00;2,568426994
6420;05.01.2013 11:00;2,115710557
6480;05.01.2013 12:00;1,847346137
6540;05.01.2013 13:00;2,711757913
6600;05.01.2013 14:00;1,13624644
6660;05.01.2013 15:00;1,050635009
6720;05.01.2013 16:00;0,875737621
6780;05.01.2013 17:00;0,724516422
6840;05.01.2013 18:00;2,837750641
6900;05.01.2013 19:00;5,270862254
6960;05.01.2013 20:00;2,061402799
7020;05.01.2013 21:00;0,750778364
7080;05.01.2013 22:00;0,808779082
7140;05.01.2013 23:00;0,218262847
7200;06.01.2013 00:00;0,338238029
7260;06.01.2013 01:00;0,253322577
7320;06.01.2013 02:00;0,207586897
7380;06.01.2013 03:00;0,217133289
7440;06.01.2013 04:00;0,604659724
7500;06.01.2013 05:00;0,629998001
7560;06.01.2013 06:00;2,25768641
7620;06.01.2013 07:00;3,269161924
7680;06.01.2013 08:00;2,891093375
7740;06.01.2013 09:00;2,438695639
7800;06.01.2013 10:00;2,174231378
7860;06.01.2013 11:00;1,173066016
7920;06.01.2013 12:00;0,89668214
7980;06.01.2013 13:00;1,018626851
8040;06.01.2013 14:00;1,573730698
8100;06.01.2013 15:00;2,480262469
8160;06.01.2013 16:00;3,778871583
8220;06.01.2013 17:00;1,874235114
8280;06.01.2013 18:00;1,81245359
8340;06.01.2013 19:00;4,034820764
8400;06.01.2013 20:00;4,275074802
8460;06.01.2013 21:00;1,415117372
8520;06.01.2013 22:00;0,508065984
8580;06.01.2013 23:00;0,226697436
8640;07.01.2013 00:00;0,287743461
8700;07.01.2013 01:00;0,31260209
8760;07.01.2013 02:00;0,244702319
8820;07.01.2013 03:00;0,210877132
8880;07.01.2013 04:00;0,318145469
8940;07.01.2013 05:00;0,626485527
9000;07.01.2013 06:00;2,04665088
9060;07.01.2013 07:00;2,948231907
9120;07.01.2013 08:00;2,456412669
9180;07.01.2013 09:00;1,377461442
9240;07.01.2013 10:00;0,698318229
9300;07.01.2013 11:00;0,477729877
9360;07.01.2013 12:00;0,342324916
9420;07.01.2013 13:00;0,437547135
9480;07.01.2013 14:00;0,691697282
9540;07.01.2013 15:00;1,579237256
9600;07.01.2013 16:00;0,986520669
9660;07.01.2013 17:00;0,949523645
9720;07.01.2013 18:00;1,985063805
9780;07.01.2013 19:00;2,029987158
9840;07.01.2013 20:00;2,789518153
9900;07.01.2013 21:00;2,115776891
9960;07.01.2013 22:00;0,886294978
10020;07.01.2013 23:00;0,352654381
10080;08.01.2013 00:00;0,258996651
10140;08.01.2013 01:00;0,259380016
10200;08.01.2013 02:00;0,246243333
10260;08.01.2013 03:00;0,275457641
10320;08.01.2013 04:00;0,21587905
10380;08.01.2013 05:00;1,274648241
10440;08.01.2013 06:00;2,148107123
10500;08.01.2013 07:00;3,045564722
10560;08.01.2013 08:00;2,406350033
10620;08.01.2013 09:00;1,401425908
10680;08.01.2013 10:00;1,113169651
10740;08.01.2013 11:00;0,544587436
10800;08.01.2013 12:00;0,363604253
10860;08.01.2013 13:00;0,414374895
10920;08.01.2013 14:00;0,996100736
10980;08.01.2013 15:00;0,749286748
11040;08.01.2013 16:00;1,130536757
11100;08.01.2013 17:00;1,017205851
11160;08.01.2013 18:00;1,464791835
11220;08.01.2013 19:00;3,675232413
11280;08.01.2013 20:00;0,99280833
11340;08.01.2013 21:00;1,997081038
11400;08.01.2013 22:00;1,016168778
11460;08.01.2013 23:00;0,834153002
11520;09.01.2013 00:00;0,280517982
11580;09.01.2013 01:00;0,222362859
11640;09.01.2013 02:00;0,263077186
11700;09.01.2013 03:00;0,220039432
11760;09.01.2013 04:00;0,401080404
11820;09.01.2013 05:00;0,448763445
11880;09.01.2013 06:00;2,336184331
11940;09.01.2013 07:00;2,024769371
12000;09.01.2013 08:00;2,013559858
12060;09.01.2013 09:00;1,483536265
12120;09.01.2013 10:00;0,548772732
12180;09.01.2013 11:00;0,33553596
12240;09.01.2013 12:00;0,877431342
12300;09.01.2013 13:00;0,445043626
12360;09.01.2013 14:00;1,268250517
12420;09.01.2013 15:00;3,482418116
12480;09.01.2013 16:00;1,613330532
12540;09.01.2013 17:00;1,255313651
12600;09.01.2013 18:00;2,607392798
12660;09.01.2013 19:00;3,254793129
12720;09.01.2013 20:00;2,881388633
12780;09.01.2013 21:00;1,435442659
12840;09.01.2013 22:00;1,552285321
12900;09.01.2013 23:00;0,499091731
12960;10.01.2013 00:00;0,27248644
13020;10.01.2013 01:00;0,327263168
13080;10.01.2013 02:00;0,215266274
13140;10.01.2013 03:00;0,338426454
13200;10.01.2013 04:00;0,560867469
13260;10.01.2013 05:00;0,624210196
13320;10.01.2013 06:00;2,389241297
13380;10.01.2013 07:00;3,30012074
13440;10.01.2013 08:00;2,431086086
13500;10.01.2013 09:00;2,372088904
13560;10.01.2013 10:00;1,174370529
13620;10.01.2013 11:00;0,826776753
13680;10.01.2013 12:00;0,478115647
13740;10.01.2013 13:00;0,661562092
13800;10.01.2013 14:00;0,815873848
13860;10.01.2013 15:00;2,146561749
13920;10.01.2013 16:00;3,556145524
13980;10.01.2013 17:00;2,076848181
14040;10.01.2013 18:00;0,97132164
14100;10.01.2013 19:00;1,500886767
14160;10.01.2013 20:00;3,225060761
14220;10.01.2013 21:00;1,207695789
14280;10.01.2013 22:00;0,742255864
14340;10.01.2013 23:00;0,263308833
14400;11.01.2013 00:00;0,265423548
14460;11.01.2013 01:00;0,283310199
14520;11.01.2013 02:00;0,206531925
14580;11.01.2013 03:00;0,3511869
14640;11.01.2013 04:00;0,542997603
14700;11.01.2013 05:00;0,73585589
14760;11.01.2013 06:00;2,234200048
14820;11.01.2013 07:00;2,822140944
14880;11.01.2013 08:00;2,405947649
14940;11.01.2013 09:00;0,887113857
15000;11.01.2013 10:00;0,296904112
15060;11.01.2013 11:00;0,372010223
15120;11.01.2013 12:00;1,84029716
15180;11.01.2013 13:00;3,775232331
15240;11.01.2013 14:00;0,273360855
15300;11.01.2013 15:00;0,681711274
15360;11.01.2013 16:00;1,320753921
15420;11.01.2013 17:00;1,53604214
15480;11.01.2013 18:00;2,718281601
15540;11.01.2013 19:00;2,593012906
15600;11.01.2013 20:00;1,92062729
15660;11.01.2013 21:00;1,200117893
15720;11.01.2013 22:00;1,73825896
15780;11.01.2013 23:00;0,323153365
15840;12.01.2013 00:00;0,206917615
15900;12.01.2013 01:00;0,204271918
15960;12.01.2013 02:00;0,251919664
16020;12.01.2013 03:00;0,286962249
16080;12.01.2013 04:00;0,279411584
16140;12.01.2013 05:00;0,433798908
16200;12.01.2013 06:00;1,777973661
16260;12.01.2013 07:00;2,194293315
16320;12.01.2013 08:00;2,920340999
16380;12.01.2013 09:00;4,213347203
16440;12.01.2013 10:00;2,264961054
16500;12.01.2013 11:00;1,851988948
16560;12.01.2013 12:00;1,606995966
16620;12.01.2013 13:00;1,274300955
16680;12.01.2013 14:00;3,488247414
16740;12.01.2013 15:00;2,840456702
16800;12.01.2013 16:00;1,191404447
16860;12.01.2013 17:00;1,190483634
16920;12.01.2013 18:00;3,749967548
16980;12.01.2013 19:00;2,827431817
17040;12.01.2013 20:00;1,728845786
17100;12.01.2013 21:00;1,565174468
17160;12.01.2013 22:00;1,802514552
17220;12.01.2013 23:00;0,531213511
17280;13.01.2013 00:00;0,234512742
17340;13.01.2013 01:00;0,210295972
17400;13.01.2013 02:00;0,256366163
17460;13.01.2013 03:00;0,247273819
17520;13.01.2013 04:00;0,238820402
17580;13.01.2013 05:00;0,726725547
17640;13.01.2013 06:00;1,804155692
17700;13.01.2013 07:00;2,578652491
17760;13.01.2013 08:00;4,397001348
17820;13.01.2013 09:00;3,569256425
17880;13.01.2013 10:00;2,732796745
17940;13.01.2013 11:00;3,148965574
18000;13.01.2013 12:00;1,172654063
18060;13.01.2013 13:00;1,231066736
18120;13.01.2013 14:00;2,67721148
18180;13.01.2013 15:00;2,056412245
18240;13.01.2013 16:00;1,203038398
18300;13.01.2013 17:00;1,796575123
18360;13.01.2013 18:00;2,352917532
18420;13.01.2013 19:00;2,478997187
18480;13.01.2013 20:00;0,98888062
18540;13.01.2013 21:00;1,320597005
18600;13.01.2013 22:00;0,322390011
18660;13.01.2013 23:00;0,29854169
18720;14.01.2013 00:00;0,236975265
18780;14.01.2013 01:00;0,218325576
18840;14.01.2013 02:00;0,266136128
18900;14.01.2013 03:00;0,2275357
