Warm Water.Timestep;Time;Sum Warm Water [L]
0;01.01.2013 00:00;0
60;01.01.2013 01:00;0
120;01.01.2013 02:00;0
180;01.01.2013 03:00;0
240;01.01.2013 04:00;5
300;01.01.2013 05:00;62,5
360;01.01.2013 06:00;47,19739241
420;01.01.2013 07:00;88,03793288
480;01.01.2013 08:00;36,31860823
540;01.01.2013 09:00;107,4401171
600;01.01.2013 10:00;54,86736166
660;01.01.2013 11:00;22,5
720;01.01.2013 12:00;45
780;01.01.2013 13:00;5
840;01.01.2013 14:00;95
900;01.01.2013 15:00;11,3847987
960;01.01.2013 16:00;98,55074668
1020;01.01.2013 17:00;5
1080;01.01.2013 18:00;0
1140;01.01.2013 19:00;0
1200;01.01.2013 20:00;10
1260;01.01.2013 21:00;0
1320;01.01.2013 22:00;0
1380;01.01.2013 23:00;0
1440;02.01.2013 00:00;0
1500;02.01.2013 01:00;0
1560;02.01.2013 02:00;0
1620;02.01.2013 03:00;0
1680;02.01.2013 04:00;10
1740;02.01.2013 05:00;1,414010567
1800;02.01.2013 06:00;150,1068513
1860;02.01.2013 07:00;137,5807666
1920;02.01.2013 08:00;29,93152619
1980;02.01.2013 09:00;35
2040;02.01.2013 10:00;0
2100;02.01.2013 11:00;0
2160;02.01.2013 12:00;50
2220;02.01.2013 13:00;63,88954903
2280;02.01.2013 14:00;0
2340;02.01.2013 15:00;78,70622832
2400;02.01.2013 16:00;78,74432791
2460;02.01.2013 17:00;36,27166382
2520;02.01.2013 18:00;0
2580;02.01.2013 19:00;77,5
2640;02.01.2013 20:00;10
2700;02.01.2013 21:00;0
2760;02.01.2013 22:00;0
2820;02.01.2013 23:00;0
2880;03.01.2013 00:00;0
2940;03.01.2013 01:00;0
3000;03.01.2013 02:00;0
3060;03.01.2013 03:00;0
3120;03.01.2013 04:00;0
3180;03.01.2013 05:00;75
3240;03.01.2013 06:00;54,66113323
3300;03.01.2013 07:00;130,350386
3360;03.01.2013 08:00;36,6986316
3420;03.01.2013 09:00;5
3480;03.01.2013 10:00;0
3540;03.01.2013 11:00;70
3600;03.01.2013 12:00;0
3660;03.01.2013 13:00;0
3720;03.01.2013 14:00;45
3780;03.01.2013 15:00;80
3840;03.01.2013 16:00;5
3900;03.01.2013 17:00;45
3960;03.01.2013 18:00;72,5
4020;03.01.2013 19:00;57,5
4080;03.01.2013 20:00;0
4140;03.01.2013 21:00;7,602513722
4200;03.01.2013 22:00;0
4260;03.01.2013 23:00;0
4320;04.01.2013 00:00;0
4380;04.01.2013 01:00;0
4440;04.01.2013 02:00;0
4500;04.01.2013 03:00;0
4560;04.01.2013 04:00;0
4620;04.01.2013 05:00;0
4680;04.01.2013 06:00;91,73478942
4740;04.01.2013 07:00;189,655973
4800;04.01.2013 08:00;9,810815969
4860;04.01.2013 09:00;25,7228199
4920;04.01.2013 10:00;40
4980;04.01.2013 11:00;0
5040;04.01.2013 12:00;10
5100;04.01.2013 13:00;0
5160;04.01.2013 14:00;15
5220;04.01.2013 15:00;62,5
5280;04.01.2013 16:00;127,542585
5340;04.01.2013 17:00;10
5400;04.01.2013 18:00;60
5460;04.01.2013 19:00;57,5
5520;04.01.2013 20:00;5
5580;04.01.2013 21:00;17,48309675
5640;04.01.2013 22:00;0
5700;04.01.2013 23:00;0
5760;05.01.2013 00:00;0
5820;05.01.2013 01:00;0
5880;05.01.2013 02:00;0
5940;05.01.2013 03:00;0
6000;05.01.2013 04:00;5
6060;05.01.2013 05:00;52,5
6120;05.01.2013 06:00;70,09404889
6180;05.01.2013 07:00;92,40586884
6240;05.01.2013 08:00;103,508117
6300;05.01.2013 09:00;69,07024133
6360;05.01.2013 10:00;12,40356261
6420;05.01.2013 11:00;82,77290932
6480;05.01.2013 12:00;24,9873888
6540;05.01.2013 13:00;2,724252139
6600;05.01.2013 14:00;67,5
6660;05.01.2013 15:00;10
6720;05.01.2013 16:00;112,5
6780;05.01.2013 17:00;30
6840;05.01.2013 18:00;5
6900;05.01.2013 19:00;15
6960;05.01.2013 20:00;7,226005129
7020;05.01.2013 21:00;7,520919104
7080;05.01.2013 22:00;1,348196162
7140;05.01.2013 23:00;0
7200;06.01.2013 00:00;0
7260;06.01.2013 01:00;0
7320;06.01.2013 02:00;0
7380;06.01.2013 03:00;0
7440;06.01.2013 04:00;0
7500;06.01.2013 05:00;45
7560;06.01.2013 06:00;185,1619717
7620;06.01.2013 07:00;17,67419325
7680;06.01.2013 08:00;72,64094712
7740;06.01.2013 09:00;101,6792246
7800;06.01.2013 10:00;50
7860;06.01.2013 11:00;20
7920;06.01.2013 12:00;42,5
7980;06.01.2013 13:00;60,06768365
8040;06.01.2013 14:00;70,12669172
8100;06.01.2013 15:00;7,494798451
8160;06.01.2013 16:00;10
8220;06.01.2013 17:00;15
8280;06.01.2013 18:00;20
8340;06.01.2013 19:00;11,15673319
8400;06.01.2013 20:00;0
8460;06.01.2013 21:00;0
8520;06.01.2013 22:00;0
8580;06.01.2013 23:00;0
8640;07.01.2013 00:00;0
8700;07.01.2013 01:00;0
8760;07.01.2013 02:00;0
8820;07.01.2013 03:00;0
8880;07.01.2013 04:00;20
8940;07.01.2013 05:00;52,5
9000;07.01.2013 06:00;113,6301635
9060;07.01.2013 07:00;67,31518185
9120;07.01.2013 08:00;23,99326794
9180;07.01.2013 09:00;2,376591219
9240;07.01.2013 10:00;10
9300;07.01.2013 11:00;0
9360;07.01.2013 12:00;10
9420;07.01.2013 13:00;67,5
9480;07.01.2013 14:00;10
9540;07.01.2013 15:00;62,5
9600;07.01.2013 16:00;52,5
9660;07.01.2013 17:00;80
9720;07.01.2013 18:00;55
9780;07.01.2013 19:00;0
9840;07.01.2013 20:00;1,027748175
9900;07.01.2013 21:00;5
9960;07.01.2013 22:00;0
10020;07.01.2013 23:00;0
10080;08.01.2013 00:00;0
10140;08.01.2013 01:00;0
10200;08.01.2013 02:00;0
10260;08.01.2013 03:00;0
10320;08.01.2013 04:00;5
10380;08.01.2013 05:00;57,5
10440;08.01.2013 06:00;74,73493575
10500;08.01.2013 07:00;152,1890655
10560;08.01.2013 08:00;47,45991398
10620;08.01.2013 09:00;85
10680;08.01.2013 10:00;0
10740;08.01.2013 11:00;0
10800;08.01.2013 12:00;0
10860;08.01.2013 13:00;0
10920;08.01.2013 14:00;55
10980;08.01.2013 15:00;52,06067869
11040;08.01.2013 16:00;0
11100;08.01.2013 17:00;67,5
11160;08.01.2013 18:00;5
11220;08.01.2013 19:00;0
11280;08.01.2013 20:00;30
11340;08.01.2013 21:00;40
11400;08.01.2013 22:00;1,168817209
11460;08.01.2013 23:00;0
11520;09.01.2013 00:00;0
11580;09.01.2013 01:00;0
11640;09.01.2013 02:00;0
11700;09.01.2013 03:00;0
11760;09.01.2013 04:00;0
11820;09.01.2013 05:00;52,5
11880;09.01.2013 06:00;63,35499119
11940;09.01.2013 07:00;109,276414
12000;09.01.2013 08:00;87,05537346
12060;09.01.2013 09:00;1,397825309
12120;09.01.2013 10:00;0
12180;09.01.2013 11:00;0
12240;09.01.2013 12:00;5
12300;09.01.2013 13:00;52,5
12360;09.01.2013 14:00;10
12420;09.01.2013 15:00;0
12480;09.01.2013 16:00;67,5
12540;09.01.2013 17:00;0
12600;09.01.2013 18:00;72,5
12660;09.01.2013 19:00;57,5
12720;09.01.2013 20:00;40
12780;09.01.2013 21:00;5
12840;09.01.2013 22:00;0
12900;09.01.2013 23:00;0
12960;10.01.2013 00:00;0
13020;10.01.2013 01:00;0
13080;10.01.2013 02:00;5
13140;10.01.2013 03:00;0
13200;10.01.2013 04:00;5
13260;10.01.2013 05:00;52,5
13320;10.01.2013 06:00;91,41973645
13380;10.01.2013 07:00;136,8538243
13440;10.01.2013 08:00;32,23058017
13500;10.01.2013 09:00;37,54671037
13560;10.01.2013 10:00;30
13620;10.01.2013 11:00;5
13680;10.01.2013 12:00;10
13740;10.01.2013 13:00;0
13800;10.01.2013 14:00;0
13860;10.01.2013 15:00;137,5
13920;10.01.2013 16:00;87,44539987
13980;10.01.2013 17:00;0
14040;10.01.2013 18:00;92,70855007
14100;10.01.2013 19:00;2,549072322
14160;10.01.2013 20:00;2,577404998
14220;10.01.2013 21:00;0
14280;10.01.2013 22:00;0
14340;10.01.2013 23:00;0
14400;11.01.2013 00:00;0
14460;11.01.2013 01:00;0
14520;11.01.2013 02:00;0
14580;11.01.2013 03:00;0
14640;11.01.2013 04:00;0
14700;11.01.2013 05:00;0
14760;11.01.2013 06:00;129,1953854
14820;11.01.2013 07:00;138,2594589
14880;11.01.2013 08:00;31,33982502
14940;11.01.2013 09:00;77,54872483
15000;11.01.2013 10:00;2,5
15060;11.01.2013 11:00;0
15120;11.01.2013 12:00;0
15180;11.01.2013 13:00;6,226023191
15240;11.01.2013 14:00;61,39174073
15300;11.01.2013 15:00;27,5
15360;11.01.2013 16:00;45
15420;11.01.2013 17:00;0,994075791
15480;11.01.2013 18:00;80
15540;11.01.2013 19:00;100
15600;11.01.2013 20:00;10
15660;11.01.2013 21:00;5
15720;11.01.2013 22:00;2,335757465
15780;11.01.2013 23:00;0
15840;12.01.2013 00:00;0
15900;12.01.2013 01:00;0
15960;12.01.2013 02:00;0
16020;12.01.2013 03:00;0
16080;12.01.2013 04:00;0
16140;12.01.2013 05:00;0
16200;12.01.2013 06:00;112,7637024
16260;12.01.2013 07:00;119,9793036
16320;12.01.2013 08:00;152,3517495
16380;12.01.2013 09:00;34,13216161
16440;12.01.2013 10:00;12,37953378
16500;12.01.2013 11:00;20
16560;12.01.2013 12:00;55,50411266
16620;12.01.2013 13:00;12,67583073
16680;12.01.2013 14:00;62,82477629
16740;12.01.2013 15:00;45
16800;12.01.2013 16:00;50
16860;12.01.2013 17:00;10
16920;12.01.2013 18:00;32,65995753
16980;12.01.2013 19:00;5
17040;12.01.2013 20:00;15
17100;12.01.2013 21:00;0
17160;12.01.2013 22:00;0
17220;12.01.2013 23:00;0
17280;13.01.2013 00:00;0
17340;13.01.2013 01:00;0
17400;13.01.2013 02:00;0
17460;13.01.2013 03:00;0
17520;13.01.2013 04:00;0
17580;13.01.2013 05:00;1,287049646
17640;13.01.2013 06:00;51,9718408
17700;13.01.2013 07:00;141,4205168
17760;13.01.2013 08:00;80,93590166
17820;13.01.2013 09:00;101,0915394
17880;13.01.2013 10:00;17,23356733
17940;13.01.2013 11:00;60
18000;13.01.2013 12:00;60
18060;13.01.2013 13:00;10
18120;13.01.2013 14:00;55
18180;13.01.2013 15:00;10
18240;13.01.2013 16:00;11,10563004
18300;13.01.2013 17:00;25
18360;13.01.2013 18:00;12,41604504
18420;13.01.2013 19:00;11,2981675
18480;13.01.2013 20:00;0
18540;13.01.2013 21:00;1,275296411
18600;13.01.2013 22:00;0
18660;13.01.2013 23:00;0
18720;14.01.2013 00:00;0
18780;14.01.2013 01:00;0
18840;14.01.2013 02:00;0
18900;14.01.2013 03:00;0
18960;14.01.2013 04:00;0
19020;14.01.2013 05:00;45
19080;14.01.2013 06:00;124,4100582
19140;14.01.2013 07:00;109,7513953
19200;14.01.2013 08:00;4,650841613
19260;14.01.2013 09:00;1,177299244
19320;14.01.2013 10:00;0
19380;14.01.2013 11:00;0
19440;14.01.2013 12:00;0
19500;14.01.2013 13:00;72,5
19560;14.01.2013 14:00;58,93213654
19620;14.01.2013 15:00;50
19680;14.01.2013 16:00;47,5
19740;14.01.2013 17:00;98,81995709
19800;14.01.2013 18:00;15
19860;14.01.2013 19:00;7,552103575
19920;14.01.2013 20:00;52,34404144
19980;14.01.2013 21:00;0
20040;14.01.2013 22:00;0
20100;14.01.2013 23:00;0
20160;15.01.2013 00:00;0
20220;15.01.2013 01:00;0
20280;15.01.2013 02:00;0
20340;15.01.2013 03:00;0
20400;15.01.2013 04:00;0
20460;15.01.2013 05:00;132,5
20520;15.01.2013 06:00;132,6274267
20580;15.01.2013 07:00;56,53622941
20640;15.01.2013 08:00;16,95244461
20700;15.01.2013 09:00;1,226144297
20760;15.01.2013 10:00;0
20820;15.01.2013 11:00;0
20880;15.01.2013 12:00;55
20940;15.01.2013 13:00;0
21000;15.01.2013 14:00;45
21060;15.01.2013 15:00;5
21120;15.01.2013 16:00;55
21180;15.01.2013 17:00;62,5
21240;15.01.2013 18:00;61,30323783
21300;15.01.2013 19:00;17,5
21360;15.01.2013 20:00;40,15688648
21420;15.01.2013 21:00;10
21480;15.01.2013 22:00;0
21540;15.01.2013 23:00;0
21600;16.01.2013 00:00;0
21660;16.01.2013 01:00;0
21720;16.01.2013 02:00;0
21780;16.01.2013 03:00;10
21840;16.01.2013 04:00;10
21900;16.01.2013 05:00;10
21960;16.01.2013 06:00;57,61371103
22020;16.01.2013 07:00;55,92818373
22080;16.01.2013 08:00;80,16636727
22140;16.01.2013 09:00;0
22200;16.01.2013 10:00;87,5
22260;16.01.2013 11:00;15
22320;16.01.2013 12:00;60
22380;16.01.2013 13:00;52,5
22440;16.01.2013 14:00;10
22500;16.01.2013 15:00;76,33680391
22560;16.01.2013 16:00;57,5
22620;16.01.2013 17:00;62,5
22680;16.01.2013 18:00;68,90043221
22740;16.01.2013 19:00;71,19562674
22800;16.01.2013 20:00;1,113472823
22860;16.01.2013 21:00;0
22920;16.01.2013 22:00;0
22980;16.01.2013 23:00;0
23040;17.01.2013 00:00;0
23100;17.01.2013 01:00;0
23160;17.01.2013 02:00;0
23220;17.01.2013 03:00;5
23280;17.01.2013 04:00;0
23340;17.01.2013 05:00;0
23400;17.01.2013 06:00;84,89244409
23460;17.01.2013 07:00;63,5867555
23520;17.01.2013 08:00;65,03957297
23580;17.01.2013 09:00;34,67085326
23640;17.01.2013 10:00;32,5
23700;17.01.2013 11:00;0
23760;17.01.2013 12:00;55
23820;17.01.2013 13:00;0
23880;17.01.2013 14:00;0
23940;17.01.2013 15:00;52,5
24000;17.01.2013 16:00;82,5
24060;17.01.2013 17:00;55
24120;17.01.2013 18:00;123,7945866
24180;17.01.2013 19:00;5
24240;17.01.2013 20:00;11,25409151
24300;17.01.2013 21:00;0
24360;17.01.2013 22:00;10
24420;17.01.2013 23:00;0
24480;18.01.2013 00:00;0
24540;18.01.2013 01:00;0
24600;18.01.2013 02:00;0
24660;18.01.2013 03:00;5
24720;18.01.2013 04:00;0
24780;18.01.2013 05:00;0
24840;18.01.2013 06:00;56,87932498
24900;18.01.2013 07:00;152,0870069
24960;18.01.2013 08:00;32,39601681
25020;18.01.2013 09:00;4,024764903
25080;18.01.2013 10:00;0
25140;18.01.2013 11:00;0
25200;18.01.2013 12:00;0
25260;18.01.2013 13:00;32,5
25320;18.01.2013 14:00;55
25380;18.01.2013 15:00;102,5
25440;18.01.2013 16:00;5
25500;18.01.2013 17:00;0
25560;18.01.2013 18:00;10
25620;18.01.2013 19:00;167,5
25680;18.01.2013 20:00;55
25740;18.01.2013 21:00;32,5
25800;18.01.2013 22:00;22,5
25860;18.01.2013 23:00;0
25920;19.01.2013 00:00;0
25980;19.01.2013 01:00;0
26040;19.01.2013 02:00;0
26100;19.01.2013 03:00;0
26160;19.01.2013 04:00;0
26220;19.01.2013 05:00;5
26280;19.01.2013 06:00;85,49511876
26340;19.01.2013 07:00;121,1861779
26400;19.01.2013 08:00;28,89151792
26460;19.01.2013 09:00;23,60873415
26520;19.01.2013 10:00;48,99256629
26580;19.01.2013 11:00;40,02591664
26640;19.01.2013 12:00;101,3049861
26700;19.01.2013 13:00;52,66325188
26760;19.01.2013 14:00;52,5
26820;19.01.2013 15:00;26,32929647
26880;19.01.2013 16:00;12,5
26940;19.01.2013 17:00;107,3827382
27000;19.01.2013 18:00;15
27060;19.01.2013 19:00;5
27120;19.01.2013 20:00;5
27180;19.01.2013 21:00;0
27240;19.01.2013 22:00;0
27300;19.01.2013 23:00;0
27360;20.01.2013 00:00;0
27420;20.01.2013 01:00;0
27480;20.01.2013 02:00;0
27540;20.01.2013 03:00;0
27600;20.01.2013 04:00;10
27660;20.01.2013 05:00;0
27720;20.01.2013 06:00;84,7412584
27780;20.01.2013 07:00;138,4378025
27840;20.01.2013 08:00;48,329233
27900;20.01.2013 09:00;37,5563256
27960;20.01.2013 10:00;56,13381684
28020;20.01.2013 11:00;85
28080;20.01.2013 12:00;5
28140;20.01.2013 13:00;37,5
28200;20.01.2013 14:00;30
28260;20.01.2013 15:00;0
28320;20.01.2013 16:00;50
28380;20.01.2013 17:00;25
28440;20.01.2013 18:00;15
28500;20.01.2013 19:00;20
28560;20.01.2013 20:00;0
28620;20.01.2013 21:00;2,395512503
28680;20.01.2013 22:00;0
28740;20.01.2013 23:00;0
28800;21.01.2013 00:00;0
28860;21.01.2013 01:00;0
28920;21.01.2013 02:00;0
28980;21.01.2013 03:00;0
29040;21.01.2013 04:00;10
29100;21.01.2013 05:00;1,279874158
29160;21.01.2013 06:00;82,26369513
29220;21.01.2013 07:00;80,47627112
29280;21.01.2013 08:00;59,94458893
29340;21.01.2013 09:00;56,48656883
29400;21.01.2013 10:00;56,16554334
29460;21.01.2013 11:00;15
29520;21.01.2013 12:00;32,5
29580;21.01.2013 13:00;25
29640;21.01.2013 14:00;5
29700;21.01.2013 15:00;55
29760;21.01.2013 16:00;0
29820;21.01.2013 17:00;60
29880;21.01.2013 18:00;17,5
29940;21.01.2013 19:00;62,25096717
30000;21.01.2013 20:00;5
30060;21.01.2013 21:00;2,438300363
30120;21.01.2013 22:00;0
30180;21.01.2013 23:00;0
30240;22.01.2013 00:00;0
30300;22.01.2013 01:00;0
30360;22.01.2013 02:00;0
30420;22.01.2013 03:00;0
30480;22.01.2013 04:00;5
30540;22.01.2013 05:00;52,5
