Space Heating.Timestep;Time;Sum Space Heating [kWh];House - Transformation Devices - Space Heating - Continuous Flow Gas Heater [kWh];;
0;01.01.2013 00:00;1,186;-1,186;;
60;01.01.2013 01:00;1,384;-1,384;;
120;01.01.2013 02:00;1,581;-1,581;;
180;01.01.2013 03:00;1,692;-1,692;;
240;01.01.2013 04:00;1,773;-1,773;;
300;01.01.2013 05:00;1,819;-1,819;;
360;01.01.2013 06:00;1,962;-1,962;;
420;01.01.2013 07:00;2,056;-2,056;;
480;01.01.2013 08:00;1,835;-1,835;;
540;01.01.2013 09:00;1,388;-1,388;;
600;01.01.2013 10:00;0,766;-0,766;;
660;01.01.2013 11:00;0,439;-0,439;;
720;01.01.2013 12:00;0,165;-0,165;;
780;01.01.2013 13:00;0,336;-0,336;;
840;01.01.2013 14:00;0,548;-0,548;;
900;01.01.2013 15:00;0,691;-0,691;;
960;01.01.2013 16:00;0,718;-0,718;;
1020;01.01.2013 17:00;0,529;-0,529;;
1080;01.01.2013 18:00;0,35;-0,35;;
1140;01.01.2013 19:00;0,25;-0,25;;
1200;01.01.2013 20:00;0,382;-0,382;;
1260;01.01.2013 21:00;0,438;-0,438;;
1320;01.01.2013 22:00;0,6;-0,6;;
1380;01.01.2013 23:00;0,827;-0,827;;
1440;02.01.2013 00:00;1,065;-1,065;;
1500;02.01.2013 01:00;1,278;-1,278;;
1560;02.01.2013 02:00;1,394;-1,394;;
1620;02.01.2013 03:00;1,474;-1,474;;
1680;02.01.2013 04:00;1,564;-1,564;;
1740;02.01.2013 05:00;1,535;-1,535;;
1800;02.01.2013 06:00;1,446;-1,446;;
1860;02.01.2013 07:00;1,375;-1,375;;
1920;02.01.2013 08:00;1,336;-1,336;;
1980;02.01.2013 09:00;0;0;;
2040;02.01.2013 10:00;0;0;;
2100;02.01.2013 11:00;0;0;;
2160;02.01.2013 12:00;0;0;;
2220;02.01.2013 13:00;0;0;;
2280;02.01.2013 14:00;0;0;;
2340;02.01.2013 15:00;0;0;;
2400;02.01.2013 16:00;0,133;-0,133;;
2460;02.01.2013 17:00;0,112;-0,112;;
2520;02.01.2013 18:00;0,057;-0,057;;
2580;02.01.2013 19:00;0,083;-0,083;;
2640;02.01.2013 20:00;0,338;-0,338;;
2700;02.01.2013 21:00;0,526;-0,526;;
2760;02.01.2013 22:00;0,807;-0,807;;
2820;02.01.2013 23:00;1,12;-1,12;;
2880;03.01.2013 00:00;1,397;-1,397;;
2940;03.01.2013 01:00;1,638;-1,638;;
3000;03.01.2013 02:00;1,707;-1,707;;
3060;03.01.2013 03:00;1,807;-1,807;;
3120;03.01.2013 04:00;1,862;-1,862;;
3180;03.01.2013 05:00;1,848;-1,848;;
3240;03.01.2013 06:00;1,727;-1,727;;
3300;03.01.2013 07:00;1,585;-1,585;;
3360;03.01.2013 08:00;1,568;-1,568;;
3420;03.01.2013 09:00;1,567;-1,567;;
3480;03.01.2013 10:00;1,615;-1,615;;
3540;03.01.2013 11:00;1,524;-1,524;;
3600;03.01.2013 12:00;1,274;-1,274;;
3660;03.01.2013 13:00;1,282;-1,282;;
3720;03.01.2013 14:00;1,398;-1,398;;
3780;03.01.2013 15:00;1,447;-1,447;;
3840;03.01.2013 16:00;1,382;-1,382;;
3900;03.01.2013 17:00;1,08;-1,08;;
3960;03.01.2013 18:00;0,796;-0,796;;
4020;03.01.2013 19:00;0,614;-0,614;;
4080;03.01.2013 20:00;0,645;-0,645;;
4140;03.01.2013 21:00;0,681;-0,681;;
4200;03.01.2013 22:00;0,812;-0,812;;
4260;03.01.2013 23:00;0,963;-0,963;;
4320;04.01.2013 00:00;1,103;-1,103;;
4380;04.01.2013 01:00;1,184;-1,184;;
4440;04.01.2013 02:00;1,199;-1,199;;
4500;04.01.2013 03:00;1,201;-1,201;;
4560;04.01.2013 04:00;1,2;-1,2;;
4620;04.01.2013 05:00;1,192;-1,192;;
4680;04.01.2013 06:00;1,232;-1,232;;
4740;04.01.2013 07:00;1,156;-1,156;;
