Space Heating.Timestep;Time;Sum Space Heating [kWh];House - Transformation Devices - Space Heating - Continuous Flow Gas Heater [kWh];;;
0;01.01.2013 00:00;1,154;-1,154;;;
60;01.01.2013 01:00;1,352;-1,352;;;
120;01.01.2013 02:00;1,547;-1,547;;;
180;01.01.2013 03:00;1,658;-1,658;;;
240;01.01.2013 04:00;1,74;-1,74;;;
300;01.01.2013 05:00;1,787;-1,787;;;
360;01.01.2013 06:00;1,93;-1,93;;;
420;01.01.2013 07:00;2,024;-2,024;;;
480;01.01.2013 08:00;1,806;-1,806;;;
540;01.01.2013 09:00;1,36;-1,36;;;
600;01.01.2013 10:00;0,744;-0,744;;;
660;01.01.2013 11:00;0,418;-0,418;;;
720;01.01.2013 12:00;0,146;-0,146;;;
780;01.01.2013 13:00;0,317;-0,317;;;
840;01.01.2013 14:00;0,528;-0,528;;;
900;01.01.2013 15:00;0,671;-0,671;;;
960;01.01.2013 16:00;0,698;-0,698;;;
1020;01.01.2013 17:00;0,507;-0,507;;;
1080;01.01.2013 18:00;0,329;-0,329;;;
1140;01.01.2013 19:00;0,227;-0,227;;;
1200;01.01.2013 20:00;0,358;-0,358;;;
1260;01.01.2013 21:00;0,414;-0,414;;;
1320;01.01.2013 22:00;0,575;-0,575;;;
1380;01.01.2013 23:00;0,801;-0,801;;;
1440;02.01.2013 00:00;1,039;-1,039;;;
1500;02.01.2013 01:00;1,25;-1,25;;;
1560;02.01.2013 02:00;1,366;-1,366;;;
1620;02.01.2013 03:00;1,446;-1,446;;;
1680;02.01.2013 04:00;1,535;-1,535;;;
1740;02.01.2013 05:00;1,507;-1,507;;;
1800;02.01.2013 06:00;1,418;-1,418;;;
1860;02.01.2013 07:00;1,346;-1,346;;;
1920;02.01.2013 08:00;1,308;-1,308;;;
1980;02.01.2013 09:00;0;0;;;
2040;02.01.2013 10:00;0;0;;;
2100;02.01.2013 11:00;0;0;;;
2160;02.01.2013 12:00;0;0;;;
2220;02.01.2013 13:00;0;0;;;
2280;02.01.2013 14:00;0;0;;;
2340;02.01.2013 15:00;0;0;;;
2400;02.01.2013 16:00;0,084;-0,084;;;
2460;02.01.2013 17:00;0,065;-0,065;;;
2520;02.01.2013 18:00;0,012;-0,012;;;
2580;02.01.2013 19:00;0,04;-0,04;;;
2640;02.01.2013 20:00;0,295;-0,295;;;
2700;02.01.2013 21:00;0,484;-0,484;;;
2760;02.01.2013 22:00;0,766;-0,766;;;
2820;02.01.2013 23:00;1,079;-1,079;;;
2880;03.01.2013 00:00;1,358;-1,358;;;
2940;03.01.2013 01:00;1,598;-1,598;;;
3000;03.01.2013 02:00;1,67;-1,67;;;
3060;03.01.2013 03:00;1,77;-1,77;;;
3120;03.01.2013 04:00;1,827;-1,827;;;
3180;03.01.2013 05:00;1,814;-1,814;;;
3240;03.01.2013 06:00;1,694;-1,694;;;
3300;03.01.2013 07:00;1,554;-1,554;;;
3360;03.01.2013 08:00;1,538;-1,538;;;
3420;03.01.2013 09:00;1,539;-1,539;;;
3480;03.01.2013 10:00;1,585;-1,585;;;
3540;03.01.2013 11:00;1,494;-1,494;;;
3600;03.01.2013 12:00;1,246;-1,246;;;
3660;03.01.2013 13:00;1,256;-1,256;;;
3720;03.01.2013 14:00;1,372;-1,372;;;
3780;03.01.2013 15:00;1,421;-1,421;;;
3840;03.01.2013 16:00;1,356;-1,356;;;
3900;03.01.2013 17:00;1,056;-1,056;;;
3960;03.01.2013 18:00;0,773;-0,773;;;
4020;03.01.2013 19:00;0,591;-0,591;;;
4080;03.01.2013 20:00;0,622;-0,622;;;
4140;03.01.2013 21:00;0,657;-0,657;;;
4200;03.01.2013 22:00;0,788;-0,788;;;
4260;03.01.2013 23:00;0,939;-0,939;;;
4320;04.01.2013 00:00;1,078;-1,078;;;
4380;04.01.2013 01:00;1,161;-1,161;;;
4440;04.01.2013 02:00;1,178;-1,178;;;
4500;04.01.2013 03:00;1,18;-1,18;;;
4560;04.01.2013 04:00;1,179;-1,179;;;
4620;04.01.2013 05:00;1,171;-1,171;;;
4680;04.01.2013 06:00;1,21;-1,21;;;
4740;04.01.2013 07:00;1,135;-1,135;;;
4800;04.01.2013 08:00;0,961;-0,961;;;
4860;04.01.2013 09:00;0,785;-0,785;;;
4920;04.01.2013 10:00;0,671;-0,671;;;
4980;04.01.2013 11:00;0,449;-0,449;;;
5040;04.01.2013 12:00;0,207;-0,207;;;
5100;04.01.2013 13:00;0,274;-0,274;;;
5160;04.01.2013 14:00;0,361;-0,361;;;
5220;04.01.2013 15:00;0,405;-0,405;;;
5280;04.01.2013 16:00;0,339;-0,339;;;
5340;04.01.2013 17:00;0,012;-0,012;;;
5400;04.01.2013 18:00;0;0;;;
5460;04.01.2013 19:00;0;0;;;
5520;04.01.2013 20:00;0;0;;;
5580;04.01.2013 21:00;0;0;;;
5640;04.01.2013 22:00;0,085;-0,085;;;
5700;04.01.2013 23:00;0,225;-0,225;;;
5760;05.01.2013 00:00;0,396;-0,396;;;
5820;05.01.2013 01:00;0,589;-0,589;;;
5880;05.01.2013 02:00;0,696;-0,696;;;
5940;05.01.2013 03:00;0,783;-0,783;;;
6000;05.01.2013 04:00;0,862;-0,862;;;
6060;05.01.2013 05:00;0,916;-0,916;;;
6120;05.01.2013 06:00;1,059;-1,059;;;
6180;05.01.2013 07:00;1,184;-1,184;;;
6240;05.01.2013 08:00;1,052;-1,052;;;
6300;05.01.2013 09:00;0,788;-0,788;;;
6360;05.01.2013 10:00;0,494;-0,494;;;
6420;05.01.2013 11:00;0,251;-0,251;;;
6480;05.01.2013 12:00;0,067;-0,067;;;
6540;05.01.2013 13:00;0,335;-0,335;;;
6600;05.01.2013 14:00;0,608;-0,608;;;
6660;05.01.2013 15:00;0,75;-0,75;;;
6720;05.01.2013 16:00;0,802;-0,802;;;
6780;05.01.2013 17:00;0,624;-0,624;;;
6840;05.01.2013 18:00;0,463;-0,463;;;
6900;05.01.2013 19:00;0,337;-0,337;;;
6960;05.01.2013 20:00;0,414;-0,414;;;
7020;05.01.2013 21:00;0,452;-0,452;;;
7080;05.01.2013 22:00;0,571;-0,571;;;
7140;05.01.2013 23:00;0,775;-0,775;;;
7200;06.01.2013 00:00;0,972;-0,972;;;
7260;06.01.2013 01:00;1,116;-1,116;;;
7320;06.01.2013 02:00;1,186;-1,186;;;
7380;06.01.2013 03:00;1,226;-1,226;;;
7440;06.01.2013 04:00;1,263;-1,263;;;
7500;06.01.2013 05:00;1,259;-1,259;;;
7560;06.01.2013 06:00;1,137;-1,137;;;
7620;06.01.2013 07:00;1,027;-1,027;;;
7680;06.01.2013 08:00;1,06;-1,06;;;
7740;06.01.2013 09:00;1,113;-1,113;;;
7800;06.01.2013 10:00;1,126;-1,126;;;
7860;06.01.2013 11:00;1,043;-1,043;;;
7920;06.01.2013 12:00;0,829;-0,829;;;
7980;06.01.2013 13:00;0,84;-0,84;;;
8040;06.01.2013 14:00;0,975;-0,975;;;
8100;06.01.2013 15:00;1,04;-1,04;;;
8160;06.01.2013 16:00;0,985;-0,985;;;
8220;06.01.2013 17:00;0,753;-0,753;;;
8280;06.01.2013 18:00;0,485;-0,485;;;
8340;06.01.2013 19:00;0,317;-0,317;;;
8400;06.01.2013 20:00;0,375;-0,375;;;
