Space Heating.Timestep;Time;Sum Space Heating [kWh];House - Transformation Devices - Space Heating - Continuous Flow Gas Heater [kWh];;
0;01.01.2013 00:00;12,799;-12,799;;
60;01.01.2013 01:00;12,799;-12,799;;
120;01.01.2013 02:00;12,951;-12,951;;
180;01.01.2013 03:00;13,092;-13,092;;
240;01.01.2013 04:00;13,197;-13,197;;
300;01.01.2013 05:00;13,235;-13,235;;
360;01.01.2013 06:00;13,356;-13,356;;
420;01.01.2013 07:00;13,417;-13,417;;
480;01.01.2013 08:00;13,075;-13,075;;
540;01.01.2013 09:00;12,434;-12,434;;
600;01.01.2013 10:00;11,375;-11,375;;
660;01.01.2013 11:00;10,551;-10,551;;
720;01.01.2013 12:00;9,822;-9,822;;
780;01.01.2013 13:00;9,598;-9,598;;
840;01.01.2013 14:00;9,496;-9,496;;
900;01.01.2013 15:00;9,416;-9,416;;
960;01.01.2013 16:00;9,283;-9,283;;
1020;01.01.2013 17:00;8,99;-8,99;;
1080;01.01.2013 18:00;8,744;-8,744;;
1140;01.01.2013 19:00;8,635;-8,635;;
1200;01.01.2013 20:00;8,847;-8,847;;
1260;01.01.2013 21:00;9,013;-9,013;;
1320;01.01.2013 22:00;9,297;-9,297;;
1380;01.01.2013 23:00;9,662;-9,662;;
1440;02.01.2013 00:00;10,066;-10,066;;
1500;02.01.2013 01:00;10,51;-10,51;;
1560;02.01.2013 02:00;10,869;-10,869;;
1620;02.01.2013 03:00;11,149;-11,149;;
1680;02.01.2013 04:00;11,435;-11,435;;
1740;02.01.2013 05:00;11,523;-11,523;;
1800;02.01.2013 06:00;11,522;-11,522;;
1860;02.01.2013 07:00;11,574;-11,574;;
1920;02.01.2013 08:00;11,642;-11,642;;
1980;02.01.2013 09:00;10,009;-10,009;;
2040;02.01.2013 10:00;9,292;-9,292;;
2100;02.01.2013 11:00;9,253;-9,253;;
2160;02.01.2013 12:00;9,22;-9,22;;
2220;02.01.2013 13:00;9,402;-9,402;;
2280;02.01.2013 14:00;9,678;-9,678;;
2340;02.01.2013 15:00;9,979;-9,979;;
2400;02.01.2013 16:00;10,287;-10,287;;
2460;02.01.2013 17:00;10,404;-10,404;;
2520;02.01.2013 18:00;10,48;-10,48;;
2580;02.01.2013 19:00;10,65;-10,65;;
2640;02.01.2013 20:00;11,088;-11,088;;
2700;02.01.2013 21:00;11,482;-11,482;;
2760;02.01.2013 22:00;11,981;-11,981;;
2820;02.01.2013 23:00;12,511;-12,511;;
2880;03.01.2013 00:00;12,962;-12,962;;
2940;03.01.2013 01:00;13,377;-13,377;;
3000;03.01.2013 02:00;13,52;-13,52;;
3060;03.01.2013 03:00;13,64;-13,64;;
3120;03.01.2013 04:00;13,695;-13,695;;
3180;03.01.2013 05:00;13,632;-13,632;;
3240;03.01.2013 06:00;13,435;-13,435;;
3300;03.01.2013 07:00;13,179;-13,179;;
3360;03.01.2013 08:00;12,994;-12,994;;
